Ticker,Name,Business,Market,IPO,MarketCap,Sector
CNX,CNX Resources,瀝青炭（れきせいたん）およびコールベッドメタンガスの生産会社,NYSE,1999,3110.21,Energy
CNXC,Concentrix Corporation,世界有数のリーディングカンパニーのビジネスに付加価値を与える事業を展開,NASDAQ,2020,7730.9,Technology
CNXN,PC Connection Inc,米国のIT関連製品ダイレクトマーケティング会社,NASDAQ,1998,1262.48,Technology
CO,Global Cord Blood Corp,臍帯血の保管と臍帯血検査などの付帯サービスを希望者に有料で提供しているケイマン籍の企業,NYSE,2007,728.09,Healthcare
COCP,Cocrystal Pharma Inc,新抗ウイルス治療薬を開発している米国のバイオテクノロジー企業,NASDAQ,2012,118.91,Healthcare
CODA,Coda Octopus Group Inc,米国の水中検査機器メーカー,NASDAQ,2001,93.49,Industrials
CODX,Co-Diagnostics Inc,核酸分子の分析などのための試薬の開発、研究に従事する米国の医療関連企業,NASDAQ,2017,240.52,Healthcare
COF,Capital One Financial,多角経営銀行,NYSE,1994,75064.56,Financial Services
COFS,ChoiceOne Financial Services Inc,主要子会社チョイスワン・バンクおよびコミュニティ・ショアーズ・バンクを通じて、定期預金、貯蓄預金、クレジットカード、ATMなどの銀行業務を提供,NASDAQ,2001,202.97,Financial Services
COG,Cabot Oil & Gas,独立系石油・ガス会社,NYSE,1990,6766.31,Energy
COGT,Cogent Biosciences Inc,米国に本拠を置く臨床段階のバイオ医薬品会社,NASDAQ,2018,307.28,Healthcare
COHR,Coherent,レーザーを基にした各種フ ォトニック製品の製造・販売を世界各国で展開している会社,NASDAQ,1980,6469.59,Technology
COHU,Cohu Inc,半導体関連機器メーカー。半導体試験対応機器の設計、製造、販売に従事。世界各地の半導体メーカーに事業を展開している。,NASDAQ,1980,1796.28,Technology
COIN,Coinbase Global Inc A,米国最大の仮想通貨（暗号資産）取引所,NASDAQ,2021,59920.1,Technology
COKE,Coca Cola Consolidated Inc,ノンアルコール飲料の製造、販売、流通を行う飲料メーカー,NASDAQ,1973,4023.47,Consumer Defensive
COLB,Columbia Banking System Inc,銀行持株会社,NASDAQ,1992,3084.46,Financial Services
COLL,Collegium Pharmaceutical Inc,米国の製薬会社,NASDAQ,2015,768.75,Healthcare
COLM,Columbia Sportswear,アウトドアウエアのデザイン、製造、販売を手掛ける衣料品メーカー。,NASDAQ,1998,6649.47,Consumer Cyclical
COMM,Commscope Holding Company Inc,会社を通じて、通信技術、無線・有線ネットワークのエンドツーエンド・ソリューションを提供している持株会社。,NASDAQ,2013,4263.21,Technology
COMP,Compass Inc A,米国の大手不動産仲介会社,NYSE,2021,5397.62,Technology
CONN,Conn's Inc,耐久消費財の専門小売業者,NASDAQ,2003,851.37,Consumer Cyclical
COO,Cooper,コンタクトレンズなどのはヘルスケア製品メーカー,NYSE,1983,18773.75,Healthcare
COOP,Mr Cooper Group Inc,金融サービス会社。,NASDAQ,2012,2907.07,Financial Services
COP,ConocoPhillips,米国の石油・石油化学大手,NYSE,1981,80762.79,Energy
CORE,Core Mark Holding Co Inc,コンビニエンス向けに、新たな供給ソリューションを提供している物流会社,NASDAQ,2005,2060.37,Consumer Defensive
CORT,Corcept Therapeutics Inc,製薬会社,NASDAQ,2004,2497.07,Healthcare
COST,Costco Wholesale,会員制倉庫型リテールチェーン,NASDAQ,1986,171310.56,Consumer Defensive
COTY,Coty A,カルバンクライン、クロエ等ブランドの香水、化粧品の製造・販売,NYSE,2013,6688.11,Consumer Defensive
